id,magnitude
06057,0.00305980528511822
06065,0.00323403006285928
06081,0.00239073090921233
06079,0.00357089622366383
06017,0.00625302078298695
06073,0.00379034329092392
06085,0.00267171157026078
06035,0.00537845257437391
06003,0.000189322226429383
06107,0.00475610312274004
06005,0.00362629392760599
06037,0.00429370546550099
06031,0.004829314436497
06113,0.00261194238099756
06099,0.00589986779881427
06013,0.00413382735541154
06067,0.00555285987021409
06053,0.00514954744055416
06069,0.00452944136889784
06001,0.00787856703962504
06011,0.00177541056369285
06009,0.00183430143686946
06055,0.00272696603943324
06093,0.00361376120265973
06061,0.00176975308893111
06083,0.00460584468143472
06023,0.00407620233815495
06095,0.0043966123154993
06109,0.00407249032783547
06045,0.00612546645074984
06111,0.00202768476368586
06101,0.00376220431663443
06059,0.00217689137924527
06029,0.00528235465937822
06027,0.0041025641025641
06097,0.00323191828216816
06071,0.00437079425393673
06063,0.00599247226624406
06091,0.00396704302715899
06103,0.00741347159685269
06089,0.00783925566663367
06049,0.012847965738758
06047,0.00754242246928028
06015,0.00660365143079114
06075,0.00704200457602305
06033,0.00926156450729473
06025,0.00266946973592668
06039,0.00708389724081593
06105,0.0016045510903654
06041,0.00204107285013976
06115,0.0057095730508152
06007,0.00400967552136678
06051,0.00453839722918906
06021,0.00390164899882214
06077,0.00993070779031542
06043,0.00262438490978677
06087,0.0055478913562666
06019,0.00550294192720775
